English Name,Persian Name,Level,Category,Equipments,target muscel,secondary muscel,Location,Injuries,Image,gif
Lunge,لانگز,آسان -متوسط-سخت,قدرتی,دمبل- وزن بدن,جلو ران(چهارسر),سرینی (باسن) -  دوقلو و نعلی ساق پا  - ساعد- پشت پا(همسترینگ) - عضلات  کمر( (core,باشگاه,زانو, https://my.uupload.ir/dl/EOgAoJRO,https://my.uupload.ir/dl/2K5o8bJ1,,
One Leg Squat,اسکوات تک پا,متوسط-سخت,قدرتی,,جلو ران(چهارسر),سرینی (باسن) -  ساق پا  - ساعد- پشت پا(همسترینگ) - عضلات  کمر( (core,باشگاه-خانه,زانو-کمر ,https://my.uupload.ir/dl/VX702m6Y,https://my.uupload.ir/dl/5L548Yk0,,
Rear Lunge,لانگز به عقب,متوسط-سخت,قدرتی,دمبل- وزن بدن,جلو ران(چهارسر),سرینی (باسن) -  دوقلو و نعلی ساق پا  - ساعد- پشت پا(همسترینگ) - عضلات  کمر( (core,باشگاه,زانو,https://my.uupload.ir/dl/NdXE2NEd,https://my.uupload.ir/dl/eyKemjyQ,,
Single Leg Split Squat,اسپیلیت اسکوات تک پا,متوسط-سخت,قدرتی,,جلو ران(چهارسر),سرینی (باسن) -  ساق پا  - ساعد- پشت پا(همسترینگ) - میان تنه( (core,باشگاه-خانه,زانو,https://my.uupload.ir/dl/OD1G2Xo9,https://my.uupload.ir/dl/v9p1bJJv,,
Single Leg Squat,اسکوات تک پا با وزن بدن,متوسط-سخت,قدرتی,,جلو ران(چهارسر),سرینی (باسن) -  ساق پا  - ساعد- پشت پا(همسترینگ) - میان تنه( (core,باشگاه-خانه, زانو,https://my.uupload.ir/dl/kjgyvavp,https://my.uupload.ir/dl/mbGkyp9B,,
Sissy Squat,سی سی اسکوات,سخت,قدرتی-بدنسازی,دمبل-وزنه,جلو ران(چهارسر),سرینی (باسن) - پشت پا(همسترینگ) - میان تنه( (core,باشگاه-خانه,زانو-کمر ,https://my.uupload.ir/dl/VX702m2p,https://my.uupload.ir/dl/EOgAozZ0,,
Sled 45 degrees Leg Press,پرس پا دستگاه ۴۵ درجه ,متوسط-سخت,قدرتی-بدنسازی,دستگاه,جلو ران(چهارسر),سرینی (باسن) -  پشت پا(همسترینگ) ,باشگاه,زانو,https://my.uupload.ir/dl/n2vjZbzg,https://my.uupload.ir/dl/BvmN2OWv,,
Sled 45 Leg Press,پرس پا ۴۵ درجه ,متوسط-سخت,قدرتی-بدنسازی,دستگاه,جلو ران(چهارسر),سرینی (باسن) -  پشت پا(همسترینگ) ,باشگاه,زانو,https://my.uupload.ir/dl/1Lzo8xRb,https://my.uupload.ir/dl/yoOKN4MB,,
Sled 45 Leg Wide Press,پرس پا دستگاه ۴۵ درجه پا باز,متوسط-سخت,قدرتی-بدنسازی,دستگاه,جلو ران(چهارسر),سرینی (باسن) -  پشت پا(همسترینگ) - شکمی - دوقلو و نعلی ساق,باشگاه, زانو,https://my.uupload.ir/dl/4e5ozN6D,https://my.uupload.ir/dl/dxV7WpYW,,
Sled Hack Squat,هاک پا دستگاه,آسان -متوسط-سخت,قدرتی-بدنسازی,دستگاه,جلو ران(چهارسر),سرینی (باسن) -  ساق پا  - ساعد- پشت پا(همسترینگ) - میان تنه( (core,باشگاه,,https://my.uupload.ir/dl/wZ2AdoEy,https://my.uupload.ir/dl/dxV7WpkE,,
Smith Chair Squat,اسکوات اسمیت,آسان -متوسط-سخت,قدرتی-بدنسازی,اسمیت,جلو ران(چهارسر),سرینی (باسن) -  ساق پا  - ساعد- پشت پا(همسترینگ) - میان تنه( (core,باشگاه,,https://my.uupload.ir/dl/NdXE2NOG,https://my.uupload.ir/dl/OD1G2J1Z,,
Smith Low Bar Squat,اسکوات اسمیت با میله پایین,متوسط-سخت,قدرتی-بدنسازی,اسمیت,جلو ران(چهارسر),سرینی (باسن) -  ساق پا  - ساعد- پشت پا(همسترینگ) - میان تنه( (core,باشگاه,,https://my.uupload.ir/dl/OD1G2XAm ,https://my.uupload.ir/dl/dxV7WpvE,,
Smith Single Leg Split Squat,اسپلیت اسکوات با اسمیت تک پا,متوسط-سخت,قدرتی-بدنسازی,اسمیت,جلو ران(چهارسر),سرینی (باسن) -  ساق پا  - ساعد- پشت پا(همسترینگ) - میان تنه( (core,باشگاه,,https://my.uupload.ir/dl/wZ2Ado7B ,https://my.uupload.ir/dl/zbRnX7Od,,
Smith Sprint Lunge,لانگز دستگاه اسمیت,آسان -متوسط-سخت,قدرتی-بدنسازی,اسمیت,جلو ران(چهارسر),سرینی (باسن) -  ساق پا  - ساعد- پشت پا(همسترینگ) - میان تنه( (core,باشگاه,,https://my.uupload.ir/dl/VX702mdz,https://my.uupload.ir/dl/EOgAozQB ,,
Squat,اسکوات,آسان -متوسط-سخت,قدرتی-بدنسازی,دمبل- هالتر,جلو ران(چهارسر),سرینی (باسن) -  ساق پا  - ساعد- پشت پا(همسترینگ) - عضلات  کمر( (core,باشگاه-خانه,زانو-کمر ,https://my.uupload.ir/dl/1Lzo8122 ,https://my.uupload.ir/dl/aGXnVEBe ,https://my.uupload.ir/dl/6E4o8WEp,https://my.uupload.ir/dl/n2vjZaZV
Step-up on Chair,استپ آپ روی صندلی,آسان -متوسط- سخت,قدرتی,صندلی-نیمکت,جلو ران (چهارسر),پشت پا(همسترینگ)-سرینی,باشگاه خانه,زانو,https://my.uupload.ir/dl/OD1G2VJ4 ,https://my.uupload.ir/dl/eyKemjMV,,
Sumo Squat,سومو اسکوات,آسان -متوسط-سخت,قدرتی-بدنسازی,دمبل-وزن بدن,جلو ران(چهارسر),سرینی (باسن) -  ساق پا  - ساعد- پشت پا(همسترینگ) - عضلات  کمر( (core,باشگاه-خانه,زانو-کمر ,https://my.uupload.ir/dl/v9p1bXWv,https://my.uupload.ir/dl/VX702LMW,,
Trap Bar Deadlift,ددلیف هالتر ترپ‌بار (هکس),متوسط-سخت,قدرتی-بدنسازی,هالتر هکس,جلو ران(چهارسر),سرینی (باسن) -  پشت پا(همسترینگ) ,باشگاه, زانو-کمر , https://my.uupload.ir/dl/VX702g1b,https://my.uupload.ir/dl/4e5ozVrD,,
Walking Lunge,لانگز قدم زدن,متوسط-سخت,قدرتی,دمبل,جلو ران(چهارسر),سرینی (باسن) -  دوقلو و نعلی ساق پا  - ساعد- پشت پا(همسترینگ) - عضلات  کمر( (core,باشگاه,زانو,https://my.uupload.ir/dl/2K5o8Ayp,https://my.uupload.ir/dl/v9p1bJN6,,
Weighted Stretch Lunge,لانگز دمبل ثابت,متوسط-سخت,قدرتی,دمبل,جلو ران(چهارسر), سرینی (باسن) -  دوقلو و نعلی ساق پا  - ساعد- پشت پا(همسترینگ) - عضلات  کمر( (core,باشگاه,زانو,https://my.uupload.ir/dl/n2vjZLbg,https://my.uupload.ir/dl/yoOKN4AB,,
