English Name,Persian Name,Level,Category,Equipments,target muscel,secondary muscel,Location,Injuries,Image,gif
Fly,فلای سینه,آسان تا سخت,قدرتی,دمبل,سینه (بخش داخلی سینه),جلویی سرشانه (دلتوئید قدامی) - دوسربازو (جلو بازو) - ساعد - میان تنه (core),باشگاه - خانه,مچ,https://my.uupload.ir/dl/4e5oO4K9 ,https://my.uupload.ir/dl/n2vjkbQZ ,,
Incline Bench Press!!!,پرس سینه روی میز شیبدار,آسان تا سخت,قدرتی,دمبل - میز شیب دار,سینه (بخش بالایی سینه),بخش جلویی سرشانه (دلتوئید قدامی) - سه سربازو (پشت بازو) - بخش میانی سرشانه (دلتوئید جانبی) - ساعد - عضلات دنده ای,باشگاه - خانه,مچ,https://my.uupload.ir/dl/1LzowZg9 ,https://my.uupload.ir/dl/Jgym6JWV ,https://my.uupload.ir/dl/Jgym6Xyb,https://my.uupload.ir/dl/n2vjkbzV 
Incline Fly,فلای روی میز شیب‌دار,آسان تا سخت,قدرتی,دمبل - میز شیب دار,سینه (بخش بالای سینه),جلویی سرشانه (دلتوئید قدامی) - بخش میانی سرشانه (دلتوئید جانبی) - عضله دو سربازو (جلو بازو) - ساعد - میان تنه(core),باشگاه - خانه,مچ,https://my.uupload.ir/dl/4e5oO4YL ,https://my.uupload.ir/dl/2K5owd6X ,,
Incline Push-up,پوش آپ یا شنا شیب دار,آسان تا سخت,قدرتی,,سینه‌ای بزرگ (سینه),قسمت جلویی سرشانه (دلتوئید قدامی) - بخش میانی سرشانه (دلتوئید جانبی) - عضلات دنده‌ای - سه سر بازو (پشت بازو) - راست کننده ستون فقرات,باشگاه - خانه,مچ,https://my.uupload.ir/dl/wZ2Aa8aZ ,https://my.uupload.ir/dl/6E4ow1BB ,,
Lever Chest Press,پرس سینه دستگاه,آسان تا سخت,قدرتی,دستگاه پرس سینه,کل سینه,بخش جلویی سرشانه (دلتوئید قدامی) - سه سربازو (پشت بازو) - ساعد -میان تنه(core),باشگاه,مچ,https://my.uupload.ir/dl/wZ2Aa8rZ ,https://my.uupload.ir/dl/4e5oON87 ,https://my.uupload.ir/dl/mbGkZrxN ,https://my.uupload.ir/dl/EOgA8BYp 
Lever Decline Chest Press,بالا سینه دستگاه,آسان تا سخت,قدرتی,دستگاه پرس سینه,سینه (بخش بالایی سینه),بخش میانی سرشانه (دلتوئید جانبی) - ساعد - عضلات دنده ای - بخش جلویی سرشانه (دلتوئید قدامی) - سه سربازو (پشت بازو),باشگاه,مچ,https://my.uupload.ir/dl/Jgym6Xve ,https://my.uupload.ir/dl/VX706g9g ,,
Lever Incline Chest Press,زیر سینه دستگاه,آسان تا سخت,قدرتی,دستگاه پرس سینه,سینه (بخش پایینی سینه),سرشانه (دلتوئید) – سه سر بازویی(پشت بازو),باشگاه,مچ,https://my.uupload.ir/dl/4e5oO4G0 ,https://my.uupload.ir/dl/dxV7mYpv ,,
Lever Lying Chest Press,پرس سینه دستگاه خوابیده,آسان تا سخت,قدرتی - بدنسازی,دستگاه پرس سینه,کل سینه ای بزرگ,بخش جلویی سرشانه (دلتوئید قدامی) - سه سربازو (پشت بازو) - ساعد,باشگاه,مچ,https://my.uupload.ir/dl/dxV7m0DQ ,https://my.uupload.ir/dl/wZ2Aa1e1 ,,
Lever Pec Deck Fly,فلای دستگاه (آرنج 90 درجه),آسان تا سخت,قدرتی,دستگاه فلای,سینه,سرشانه (دلتوئید) - سه سر بازویی(پشت بازو),باشگاه,مچ- گردن- ستون فقرات,https://my.uupload.ir/dl/dxV7m0Nb ,https://my.uupload.ir/dl/6E4owWbp ,https://my.uupload.ir/dl/OD1G6nM2 ,https://my.uupload.ir/dl/Jgym6DBV 
Lever Seated Fly,فلای دستگاه,آسان تا سخت,قدرتی,دستگاه فلای,سینه (قفسه سینه),بخش جلویی سرشانه (دلتوئید قدامی) - عضله سه سربازو (جلو بازو) - عضلات ساعد,باشگاه,سَر- ستون فقرات,https://my.uupload.ir/dl/OD1G6nAB ,https://my.uupload.ir/dl/4e5oOKA2 ,,
Lying Hammer Press,پرس سینه دمبل چکشی,آسان تا سخت,قدرتی,دمبل,قسمت داخلی سینه,جلویی سرشانه (دلتوئید قدامی) - عضله سه سربازو (پشت جلو بازو) و عضلات ساعد,باشگاه - خانه,مچ,https://my.uupload.ir/dl/n2vjk8Ne ,https://my.uupload.ir/dl/OD1G6VX9 ,,
Pike Push Up,پایک پوش آپ (شنای پایک),آسان تا سخت,قدرتی,,سرشانه,عضله سه سربازو (پشت بازو) - سینه - عضلات شکم - بخش کوچکی از ذوزنقه,باشگاه - خانه,مچ,https://my.uupload.ir/dl/OD1G6nYm,https://my.uupload.ir/dl/dxV7mY6Q,https://my.uupload.ir/dl/Jgym6XZb,https://my.uupload.ir/dl/mbGkZoAg
Pullover,پول‌ اُور(پلاور),آسان تا سخت,قدرتی,دمبل,سینه,ساعد- سه سربازویی (پشت بازو)- core(میان تنه)- زیر بغل- دنده ای و دلتوئید قدامی,باشگاه - خانه,,https://my.uupload.ir/dl/zbRnONDB ,https://my.uupload.ir/dl/1Lzow1O0 ,,
Push-up,پوش آپ (شنا),آسان تا سخت,قدرتی,,سینه ای بزرگ,عضلات دنده ای - سه سر بازو (پشت بازو) - ساعد - جلویی سرشانه (دلتوئید قدامی) - بخش میانی سرشانه (دلتوئید جانبی),باشگاه - خانه,مفاصل ,https://my.uupload.ir/dl/n2vjk4GK ,https://my.uupload.ir/dl/Jgym6Dmb ,,
Smith Bench Press,پرس سینه اسمیت,آسان تا سخت,قدرتی,دستگاه,سینه,بخش جلویی سرشانه (دلتوئید قدامی) - سه سربازو (پشت بازو) - ساعد -میان تنه مرکزی (core),باشگاه,مچ,https://my.uupload.ir/dl/VX706Q9g ,https://my.uupload.ir/dl/BvmNwB2k ,,
Smith Incline Bench Press,پرس زیر سینه اسمیت,آسان تا سخت,قدرتی,دستگاه - نیمکت شیب دار,سینه (بخش پایینی قفسه سینه),پشت بازو (سه سر بازو) و دلتوئید قدامی (سرشانه جلویی),باشگاه,مچ,https://my.uupload.ir/dl/yoOKaD9J ,https://my.uupload.ir/dl/Jgym6D7z ,,
Standing Up Straight Crossovers,کراس اُور ایستاده (از بالا),آسان تا سخت,قدرتی,سیم کش,سینه‌ای بزرگ و‌ ترقوه,جلوی سرشانه (دلتوئید قدامی) - دوسر بازو (جلو بازو) - ساعد - میان تنه (core),باشگاه,بالاتنه,https://my.uupload.ir/dl/n2vjk4an ,https://my.uupload.ir/dl/NdXE6A8M ,,
Wide Hand Push up,پوش آپ (شنا) دست باز,آسان تا سخت,قدرتی,,سینه ای بزرگ,جلویی سرشانه (دلتوئید قدامی) - بخش میانی سرشانه (دلتوئید جانبی) - عضلات دنده ای - عضلات سه سر بازو (پشت بازو) - راست کننده ستون فقرات - عضلات پایین تنه و ساعد,باشگاه - خانه,مچ,https://my.uupload.ir/dl/OD1G60B4 ,https://my.uupload.ir/dl/n2vjkL9D ,,
