English Name,Persian Name,Level,Category,Equipments,target muscel,secondary muscel,Location,Injuries,Image,gif
Lever Hip thrust,هیپ تراست با دستگاه,آسان تا سخت,قدرتی-بدنسازی,دستگاه,سرینی (باسن),پشت پا(همسترینگ)- جلو ران(چهارسر),باشگاه,زانو ,https://my.uupload.ir/dl/5L54wBMe ,https://my.uupload.ir/dl/5L54w8ge ,,
Lever Horizontal One leg Press,پرس پا دستگاه تک پا خوابیده (افقی),متوسط-سخت,قدرتی-بدنسازی,دستگاه,چهار سر ران (جلو پا),سرینی (باسن) - دوقلو و نعلی ساق- ساعد- پشت پا(همسترینگ)- شکمی,باشگاه,زانو ,https://my.uupload.ir/dl/6E4owB5k ,https://my.uupload.ir/dl/VX7062XW ,,
Lever Seated Hip Abduction,خارج پا (ران) دستگاه نشسته,آسان تا سخت,قدرتی-بدنسازی,دستگاه,سرینی (باسن),بخش خارجی جلو ران(چهارسر),باشگاه,,https://my.uupload.ir/dl/4e5oOB87 ,https://my.uupload.ir/dl/BvmNw2zv ,,
Lever Seated Hip Adduction,خارج پا دستگاه نشسته,آسان تا سخت,قدرتی-بدنسازی,دستگاه,سرینی (باسن),بخش خارجی جلو ران(چهارسر),باشگاه,,https://my.uupload.ir/dl/v9p1aARM ,https://my.uupload.ir/dl/5L54w8KY ,,
Lever Standing Hip Extension,پشت پا دستگاه ایستاده (هیپ دستگاه ایستاده),آسان -متوسط-سخت,قدرتی-بدنسازی,دستگاه,پشت پا(همسترینگ),سرینی (باسن) - دوقلو ساق پا,باشگاه,زانو ,https://my.uupload.ir/dl/eyKe7bZx ,https://my.uupload.ir/dl/OD1G62yB ,,
Lunges,لانگز (لانج-لانجز-لانژ),آسان تا سخت,قدرتی,دمبل- هالتر یا وزن بدن,جلو ران(چهارسر),سرینی (باسن) -  نعلی - دوقلو ساق پا -همسترینگ (پشت پا)- عضلات( میان تنه core ),باشگاه-خانه,زانو ,https://my.uupload.ir/dl/6E4owZkK ,https://my.uupload.ir/dl/0j5z48Dd ,https://my.uupload.ir/dl/BvmNwozk ,https://my.uupload.ir/dl/dxV7mWZW 
Lying Leg Raise and Hold,پا بالا خوابیده یا لیفت پا خوابیده (لگ ریز),آسان -متوسط-سخت,قدرتی,,راست شکمی (زیر شکم),پا- میان تنه core,باشگاه-خانه,,https://my.uupload.ir/dl/2K5owGON ,https://my.uupload.ir/dl/mbGkZya9 ,,
Romanian Deadlift,ددلیف رومانیایی,متوسط-سخت,قدرتی-بدنسازی,دمبل-هالتر,پشت پا(همسترینگ),سرینی (باسن) - دوقلو (ساق پا)- ساعد- عضلات  میان تنه(core) ,باشگاه,کمر  ,https://my.uupload.ir/dl/2K5owGvz ,https://my.uupload.ir/dl/kjgyxvwv ,https://my.uupload.ir/dl/n2vjkOrD ,https://my.uupload.ir/dl/dxV7mWrE 
Sled 45 degrees One Leg Press,پرس پا تک دستگاه 45 درجه,متوسط-سخت,قدرتی-بدنسازی,دستگاه,جلو ران(چهارسر),سرینی (باسن) - پشت پا(همسترینگ) جلو ران(چهارسر),باشگاه,زانو,https://my.uupload.ir/dl/OD1G6AK9 ,https://my.uupload.ir/dl/6E4ow8WK ,,
Sled 45 Leg Press,پرس پا دستگاه 45 درجه,آسان تا سخت,قدرتی-بدنسازی,دستگاه,جلو ران(چهارسر),سرینی (باسن) - پشت پا(همسترینگ) ,باشگاه,زانو ,https://my.uupload.ir/dl/v9p1aAMb ,https://my.uupload.ir/dl/Jgym6202 ,,
Sled Hack Squat,هاگ پا دستگاه (هک پا),آسان تا سخت,قدرتی-بدنسازی,دستگاه,جلو ران(چهارسر),سرینی (باسن) - پشت پا(همسترینگ) -نعلی - دوقلو ساق پا -  Core (میان تنه,باشگاه,زانو ,https://my.uupload.ir/dl/2K5owGyR ,https://my.uupload.ir/dl/wZ2AadKw ,,
Smith Hip Thrust,هیپ تراست با اسمیت (پل باسن اسمیت),آسان تا سخت,قدرتی-بدنسازی,دستگاه اسمیت,سرینی (باسن),پشت پا(همسترینگ)- جلو ران(چهارسر),باشگاه,,https://my.uupload.ir/dl/0j5z4geX ,https://my.uupload.ir/dl/kjgyxvxp ,,
Split Squat,اسپلیت اسکوات,متوسط تا سخت,قدرتی,دمبل یا وزن بدن,جلو ران(چهارسر),پشت پا(همسترینگ)- سرینی (باسن) نعلی و دوقلو ساق پا- core  میان تنه,باشگاه,,https://my.uupload.ir/dl/Jgym6d0A ,https://my.uupload.ir/dl/kjgyxvyw ,,
Step-up,استپ آپ,آسان -متوسط-سخت,قدرتی-بدنسازی,,جلو ران(چهارسر),سرینی (باسن) - دوقلو ساق پا -  پشت پا(همسترینگ) - میان تنه (core)  ,باشگاه-خانه,,https://my.uupload.ir/dl/NdXE61Qa ,https://my.uupload.ir/dl/n2vjkZZM ,,
Sumo Deadlift,سومو ددلیفت ,آسان -متوسط-سخت,قدرتی-بدنسازی,,پشت پا(همسترینگ),سرینی (باسن) - فیله,باشگاه-خانه,کمر ,https://my.uupload.ir/dl/NdXE61w0 ,https://my.uupload.ir/dl/v9p1ab6R ,,
